main_situation_class,encoded_accident_situation,count,share_within_class,situation_name
0,11,14472,0.3203896391410228,Ligeudkørsel til h.vejside
0,12,10120,0.22404250608811158,Ligeudkørsel til v.vejside
0,32,3590,0.07947752933362852,EneUh sving kryds mv
0,22,3571,0.07905689617002436,V.svingende til h. vejside
0,98,3166,0.07009076820898827,Eneuheld i øvrigt
0,21,2756,0.06101394731016161,H.svingende til v. vejside
0,31,2439,0.05399601505423954,EneUh ligeud Tkryds mv
0,40,2336,0.05171574053575382,Styrt på kørebanen
0,24,1128,0.024972326765552357,V.svingende til v. vejside
0,23,1061,0.023489041399158733,H.svingende til h. vejside
0,50,531,0.011755589993358424,Vending
1,140,31002,0.6534302877015492,Påkørsel bagfra
1,111,4403,0.09280219201180315,Overhaling venstre om
1,151,3990,0.0840973759089472,Vognbaneskift til venstre
1,152,2567,0.05410475287174623,Vognbaneskift til højre
1,198,2118,0.04464116345241859,Ligeud samme kurs i øvrigt
1,160,1391,0.0293181578670039,Trængning
1,170,1126,0.023732743176309412,Vending foran medkørende
1,112,848,0.017873327010222363,Overhaling højre om
2,241,4923,0.43119908907769117,Mødeuh. i el. 2.s kørebane
2,242,3338,0.2923710256634843,Mødeuheld i øvrigt
2,270,2117,0.18542524305859684,Bakning med modsat kurs
2,211,442,0.03871419812560217,Overhaling
2,250,322,0.028203556100551808,Vending over for modpart
2,298,275,0.02408688797407375,Ligeud modsat kurs iøvrigt
3,312,8596,0.5199298372951068,H.sving ind foran medkør.
3,322,2799,0.1692977681001633,V.sving ind foran medkør.
3,321,2479,0.14994253916409606,Påkørsel bagfra v/ v.sving
3,311,1141,0.06901348817516482,Påkørsel bagfra v/ h.sving
3,313,583,0.03526280771789754,Samtidigt højresvingende
3,323,472,0.028548962680699206,Samtidigt venstresvingende
3,398,463,0.028004596866872317,Samme kurs sving. i øvrigt
4,410,10342,0.9208440922446799,V.sving ind foran modkør.
4,440,438,0.03899919864660315,H.sving ind foran modkør.
4,420,192,0.017095539132757544,H.- og v.svingende modpart
4,498,181,0.016116107203276647,Modsat kurs sving. iøvrigt
4,430,78,0.006945062772682753,V.sving. modpart samtidig
5,510,7469,0.5234424276403392,X-ende u sving. Modp.fra H
5,520,6454,0.4523092017660663,X-ende u sving. Modp.fra V
5,598,346,0.024248370593594505,X-ende ligeud i øvrigt
6,660,6622,0.3672360248447205,V. sving ud foran modkør.
6,610,5973,0.3312444543034605,H.sving ud foran medkør.
6,650,2193,0.12161712511091394,V. sving ud foran medkør.
6,620,1371,0.07603149955634428,H.sving ud foran modkør.
6,643,513,0.028449423247559894,V.sving i kryds
6,670,454,0.02517746228926353,Bakning om hjørne
6,698,294,0.016304347826086956,X-ende med sving. i øvrigt
6,642,252,0.013975155279503106,V. og H.sving i kryds
6,641,245,0.01358695652173913,H. og V.sving i kryds
6,644,111,0.006155723158828749,H.sving i kryds
6,640,4,0.00022182786157941438,Sving foran svingende
7,710,8857,0.36593125103288715,P. køretøj i h. vejside
7,798,6089,0.25156998843166417,Parkeret køretøj i øvrigt
7,752,3494,0.1443563047430177,Parkering i øvrigt
7,751,2820,0.11650966782350025,Vinkelret/skråparkering
7,720,2020,0.08345727978846472,P. køretøj i v. vejside
7,740,924,0.03817550818046604,Åbning af dør i p. køretøj
8,811,1406,0.14405737704918034,Fodg. fra h. fortov
8,835,1174,0.12028688524590164,Fodg. på kørebanen
8,812,850,0.08709016393442623,Fodg. fra v. fortov
8,878,766,0.07848360655737704,Fodg. fra h. efter v.sving
8,880,701,0.07182377049180327,Fodg. ved bakning
8,877,699,0.07161885245901639,Fodg. fra v. efter v.sving
8,860,545,0.05584016393442623,Fodg. på fortov
8,871,503,0.05153688524590164,Fodg. fra h. før kryds
8,876,466,0.047745901639344265,Fodg. fra h. efter h.sving
8,841,373,0.038217213114754095,Fodg. gående i h. vejside
8,874,313,0.03206967213114754,Fodg. fra h. efter kryds
8,872,308,0.03155737704918033,Fodg. fra v. før kryds
8,875,250,0.025614754098360656,Fodg. fra v. efter h.sving
8,898,239,0.024487704918032788,Uheld med fodg. i øvrigt
8,832,211,0.021618852459016392,Fodg. frem foran køretøj
8,851,208,0.021311475409836064,Fodg. gående i v. vejside
8,820,196,0.020081967213114754,Pass. ved stoppested
8,831,180,0.018442622950819672,Fodg. frem bag køretøj
8,873,138,0.014139344262295081,Fodg. fra v. efter kryds
8,879,119,0.012192622950819671,Fodgænger i kryds i øvrigt
8,821,115,0.0117827868852459,Pass. ved ud-/indstigning
9,920,2875,0.45112192060254197,Genstande på kørebanen
9,910,1991,0.31241173701553426,Dyr på kørebanen
9,930,818,0.12835399340969716,Afspærring på kørebanen
9,999,392,0.0615094931743292,Uheld i øvrigt
9,998,249,0.03907108112348972,Dyr og genstande i øvrigt
9,940,48,0.007531774674407657,Køretøj og jernbanetog
